route_ref,highway_type,lanes,maxspeed_kmh,length_km,midpoint_lat,midpoint_lon
25,trunk,,,0.092,31.46919,34.52927
25,trunk,,,0.292,31.47158,34.52574
25,trunk,2,90.0,1.612,31.22341,34.83753
25,trunk,2,90.0,0.011,31.22193,34.84613
25,trunk,2,90.0,2.486,31.21815,34.8629
25,trunk,2,90.0,0.012,31.22138,34.84608
25,trunk,,90.0,0.491,31.26817,34.74059
25,trunk,,80.0,0.117,31.26953,34.73905
25,trunk,,90.0,0.149,31.27062,34.73846
25,trunk,,80.0,0.117,31.2696,34.73918
25,trunk,,90.0,0.537,31.26799,34.74059
25,trunk,,90.0,2.063,31.27699,34.7345
25,trunk,,80.0,0.151,31.27028,34.7385
25,trunk,,90.0,1.672,31.29042,34.72194
25,trunk,,90.0,0.006,31.28635,34.72581
25,trunk,,90.0,2.031,31.2776,34.73384
25,trunk,,90.0,0.03,31.28639,34.72577
25,trunk,,90.0,0.025,31.28617,34.72597
25,trunk,,90.0,0.006,31.29674,34.71312
25,trunk,,90.0,0.047,31.29652,34.71331
25,trunk,,90.0,0.849,31.29885,34.71208
25,trunk,,90.0,0.045,31.29699,34.71292
25,trunk,,90.0,1.591,31.29013,34.72209
25,trunk,,90.0,0.047,31.30515,34.70875
25,trunk,,90.0,2.942,31.32101,34.70337
25,trunk,,90.0,0.01,31.3049,34.70895
25,trunk,,90.0,0.123,31.30396,34.70945
25,trunk,,90.0,0.072,31.33024,34.69945
25,trunk,,90.0,0.013,31.32972,34.70002
25,trunk,,90.0,0.011,31.33067,34.69884
25,trunk,,90.0,2.354,31.33184,34.689
25,trunk,,90.0,0.033,31.33085,34.69855
25,trunk,,90.0,0.036,31.3305,34.69912
25,trunk,,90.0,0.147,31.32999,34.69952
25,trunk,2,90.0,0.007,31.21748,34.87413
25,trunk,2,90.0,2.59,31.21868,34.86324
25,trunk,2,90.0,2.266,31.21164,34.89286
