alert_rank_alltime,alert_rank_marapr2026,lat,lon,road,risk_score,lanes_weight,alerts_alltime_15km,alerts_marapr2026_15km,status,relocated_from_lat,relocated_from_lon,nearest_city,moved_km
261,261,30.10919,35.14451,90,2.0,1.5,0,0,rural,,,,
262,262,30.3427,35.23812,65,2.0,1.5,0,0,rural,,,,
263,263,31.06706,35.00582,204,2.0,1.5,0,0,rural,,,,
264,264,30.32757,34.9544,40,2.0,1.5,0,0,rural,,,,
265,265,29.84614,34.8389,12,2.0,1.5,0,0,rural,,,,
266,266,29.86094,35.03429,90,2.0,1.5,0,0,rural,,,,
267,267,30.41078,35.15233,90,2.0,1.5,0,0,rural,,,,
268,268,30.62316,35.19708,90,2.0,1.5,0,0,rural,,,,
269,269,30.6324,35.28274,65,2.0,1.5,0,0,rural,,,,
270,270,31.1867,34.55346,222,2.0,1.5,0,0,rural,,,,
271,271,30.82022,34.75359,40,2.0,1.5,0,0,rural,,,,
272,272,30.86023,35.26261,90,2.0,1.5,0,0,rural,,,,
273,273,30.16037,35.01785,40,2.0,1.5,0,0,rural,,,,
274,274,30.51011,34.9405,40,2.0,1.5,0,0,rural,,,,
275,275,29.99101,34.93851,12,2.0,1.5,0,0,rural,,,,
276,276,29.68388,34.86273,12,2.0,1.5,0,0,rural,,,,
277,277,32.57385,35.24934,675,2.0,1.5,0,0,rural,,,,
278,278,30.93837,34.8715,204,2.0,1.5,0,0,rural,,,,
279,279,30.94605,35.03921,225,2.0,1.5,0,0,rural,,,,
280,280,30.26525,35.13614,90,2.0,1.5,0,0,rural,,,,
281,281,29.70869,34.99795,90,2.0,1.5,0,0,rural,,,,
282,282,30.7723,35.35039,65,2.0,1.5,0,0,rural,,,,
283,283,30.48408,35.28928,65,2.0,1.5,0,0,rural,,,,
284,284,31.09654,34.66913,222,2.0,1.5,0,0,rural,,,,
285,285,30.04875,35.01425,40,2.0,1.5,0,0,rural,,,,
286,286,30.27935,35.05159,13,2.0,1.5,0,0,rural,,,,
287,287,32.55637,35.07875,672,2.0,1.5,0,0,rural,,,,
288,288,29.67408,35.02985,65,2.0,1.5,0,0,rural,,,,
289,289,30.42087,34.94255,40,2.0,1.5,0,0,rural,,,,
290,290,29.92133,34.88672,12,2.0,1.5,0,0,rural,,,,
291,291,29.76747,34.86564,12,2.0,1.5,0,0,rural,,,,
292,292,29.60663,34.87307,12,2.0,1.5,0,0,rural,,,,
293,293,30.18492,35.1348,90,2.0,1.5,0,0,rural,,,,
294,294,30.33822,35.16148,90,2.0,1.5,0,0,rural,,,,
295,295,30.95896,34.98538,225,2.0,1.5,0,0,rural,,,,
296,296,29.78313,35.0185,90,2.0,1.5,0,0,rural,,,,
297,297,29.63343,34.98858,90,2.0,1.5,0,0,rural,,,,
298,298,29.9316,35.06138,90,2.0,1.5,0,0,rural,,,,
299,299,30.07196,35.12898,90,2.0,1.5,0,0,rural,,,,
300,300,30.58725,35.19104,90,2.0,1.5,0,0,rural,,,,
301,301,29.90843,35.06395,90,2.0,1.5,0,0,rural,,,,
302,302,30.04599,35.10699,90,2.0,1.5,0,0,rural,,,,
303,303,30.70825,35.30354,65,2.0,1.5,0,0,rural,,,,
304,304,30.41037,35.2789,65,2.0,1.5,0,0,rural,,,,
305,305,30.84046,35.39359,65,2.0,1.5,0,0,rural,,,,
306,306,30.55768,35.26319,65,2.0,1.5,0,0,rural,,,,
307,307,31.01279,34.95835,204,2.0,1.5,0,0,rural,,,,
308,308,30.2299,35.01772,40,2.0,1.5,0,0,rural,,,,
309,309,30.98851,34.76532,40,1.8,1.5,0,0,rural,,,,
310,310,31.14146,35.35992,31,1.8,1.5,0,0,rural,,,,
311,311,31.03419,35.23205,25,1.8,1.5,0,0,rural,,,,
312,312,32.55022,35.1635,65,1.8,1.5,0,0,rural,,,,
313,313,31.04743,35.37777,90,1.8,1.5,0,0,rural,,,,
314,314,32.51281,35.11792,65,1.8,1.5,0,0,rural,,,,
315,315,30.96422,35.30403,90,1.8,1.5,0,0,rural,,,,
316,316,30.91333,34.77768,40,1.8,1.5,0,0,rural,,,,
317,317,31.13328,35.38617,90,1.8,1.5,0,0,rural,,,,
318,318,31.03831,35.15064,25,1.8,1.5,0,0,rural,,,,
319,319,32.53859,35.02841,6,1.5,1.5,0,0,rural,,,,
320,320,32.72946,35.65515,98,2.5,1.0,0,0,rural,,,,
321,321,32.78226,35.64081,92,2.5,1.0,0,0,rural,,,,
322,322,32.76892,35.69289,98,2.5,1.0,0,0,rural,,,,
323,323,31.0429,35.20036,258,2.0,1.0,0,0,rural,,,,
324,324,30.81407,35.24859,227,2.0,1.0,0,0,rural,,,,
325,325,30.91445,35.01758,206,2.0,1.0,0,0,rural,,,,
326,326,30.89877,35.13169,227,2.0,1.0,0,0,rural,,,,
327,327,31.014,35.08009,206,2.0,1.0,0,0,rural,,,,
328,328,31.061,34.8527,224,2.0,1.0,0,0,rural,,,,
329,329,32.55066,35.20219,66,1.8,1.0,0,0,rural,,,,
