lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
31.21740737149444,34.80488009217176,406,2.0,2.0,1508,373
31.2294326,34.8090153,25,1.8,1.5,1508,374
31.2925987,34.9227669,31,1.8,1.5,1508,375
31.2916455,34.9239196,31,1.8,1.5,1508,376
31.263171775884203,34.79811208658041,406,2.0,2.0,1508,377
31.282470598694584,34.82577346382696,40,1.8,1.5,1508,378
31.218108867475035,34.865293547754824,25,1.8,1.5,1508,379
31.269129879792988,34.798103442591575,406,2.0,2.0,1508,380
31.245068672956855,34.8049135713969,60,1.8,2.0,1508,381
32.76605660839982,35.40872790510802,65,4.0,1.5,1455,382
31.57875482471124,34.80740388919948,6,1.5,1.5,1359,383
32.66828897510452,34.93734095205944,2,1.5,2.0,1277,384
32.6117197,35.0837375,672,2.0,1.5,1264,385
32.54086318464,34.9310768613284,4,1.8,1.5,1206,386
31.49690580570475,34.68571696181941,334,2.0,1.0,1199,387
31.3182746734047,34.70232857193643,25,1.8,1.5,1184,388
31.311015,34.7883396,406,2.0,2.0,1184,389
31.276422013935097,34.73490953852222,25,1.8,1.5,1184,390
31.33179793170028,34.69960521629294,264,2.0,1.5,1184,391
31.31376735313169,34.78783164893118,40,1.8,1.5,1184,392
31.342003577691028,34.72371974711232,310,2.0,1.5,1184,393
31.25975389213406,34.755658535570724,25,1.8,1.5,1184,394
32.8819034,35.6600955,92,2.5,1.0,1182,395
32.8831442,35.6607189,92,4.0,1.0,1182,396
31.4458355,34.5707134,25,4.0,1.5,1173,397
31.4505483,34.559437,25,4.0,1.5,1173,398
31.45197816987135,34.59994931416157,34,4.0,1.5,1173,399
31.537234500188532,34.76672553033462,40,1.8,1.5,1157,400
31.3865175,34.8777943,358,2.0,1.0,999,401
31.3832276,34.8778612,358,2.0,1.0,999,402
32.663310496017544,35.292608600133015,60,1.8,2.0,974,403
32.6406950713602,34.95851936500162,4,1.8,1.5,940,404
32.5442755,34.9669331,654,2.0,1.0,846,405
32.5543055,34.9570855,652,2.0,1.5,846,406
32.544954169476725,34.91657069071304,2,1.5,2.0,846,407
32.549021174240934,34.931626299034235,4,1.8,1.5,846,408
32.7598012,35.4114261,65,2.5,1.5,821,409
32.7608424,35.4113148,65,2.5,1.5,821,410
31.4161088,34.6084891,293,4.0,1.5,727,411
31.2011988,35.3599487,90,1.8,1.5,697,412
32.5286447,35.3721164,667,2.0,1.0,692,413
32.54162011898508,35.43778374333994,71,1.8,1.5,692,414
32.5864007,35.4354138,717,2.5,1.0,692,415
32.55678761226932,35.37694012842403,71,1.8,1.5,692,416
31.4231289,34.7867766,325,2.0,1.0,670,417
32.65708166095325,35.29228309112994,60,1.8,2.0,657,418
32.6098752,35.0411061,67,1.8,1.5,630,419
32.6102244,35.0401181,67,1.8,1.5,630,420
32.8008556,35.5319811,90,2.5,1.5,475,421
32.7860827,35.4949869,768,2.5,1.5,475,422
32.787343092277055,35.506729299851926,77,1.8,1.5,475,423
32.78096635472301,35.438364935587146,77,1.8,1.5,475,424
32.7722263,35.5055496,768,2.5,1.5,475,425
31.435491805197728,34.678240143674586,293,4.0,1.5,364,426
31.385603658904156,34.61437523234461,25,1.8,1.5,363,427
31.374473681557888,34.61881646874387,25,1.8,1.5,363,428
32.49797183077475,35.064337264902186,65,1.8,1.5,362,429
32.7023605,35.4120296,65,2.5,1.5,346,430
32.6885247,35.4195446,65,2.5,1.5,346,431
32.7036002,35.5063129,767,2.5,1.0,346,432
32.6029064,35.2789257,671,2.0,1.5,346,433
32.6487325,35.3735597,716,2.5,1.0,346,434
32.6512247,35.3742555,65,1.8,1.5,346,435
32.6784593,35.4121414,65,2.5,1.5,346,436
32.6064533,35.3029476,71,1.8,1.5,346,437
