alert_rank,aadt_rank,lat,lon,road,risk_score,lanes_weight,aadt_vehicles_per_day,nearby_alerts_15km
324,535,32.4673694,35.019543,574,2.0,1.5,8000,4099
325,49,31.5689799,34.5500762,4,4.0,1.5,40000,3836
326,18,32.500837515438455,34.9157576815396,2,1.5,2.0,75000,3737
327,519,32.96874579290098,35.638287991665884,888,4.0,1.0,8000,3727
328,530,31.628935536252122,34.84566771580291,353,2.0,1.0,8000,3609
329,254,31.6111524,34.9032578,35,1.8,1.5,11000,3387
330,31,32.478343070632405,35.03677938001912,6,1.5,1.5,48000,3372
331,481,32.510771,34.9570687,652,2.0,1.5,8000,3368
332,175,32.76467082555134,35.376711397425666,77,1.8,1.5,19000,3331
333,502,32.851765451617695,35.480685119013465,807,2.5,1.0,8000,3229
334,212,32.68048437079212,35.26942005942925,75,1.8,1.5,14000,3193
335,213,32.683637490149714,35.27557472859578,75,1.8,1.5,14000,3193
336,356,32.7116404,35.3068315,754,2.0,1.5,8000,3168
337,497,32.63672,35.0642675,672,2.0,1.5,8000,3150
338,537,32.6360757,35.0658454,672,2.0,1.5,8000,3150
339,418,32.904196,35.6337948,888,4.0,1.0,8000,3093
340,255,32.8374614,35.5105455,90,4.0,1.5,9000,2920
341,451,33.0248833,35.6728782,91,4.0,1.5,8000,2914
342,316,32.6613724,35.2390928,73,1.8,1.5,8000,2847
343,557,31.5352332,34.6138396,232,4.0,1.0,7000,2638
344,510,32.88681225742244,35.58081878732756,87,4.0,1.0,8000,2428
345,558,31.5166416,34.5985756,232,4.0,1.0,7000,2329
346,335,31.5278914,34.6121482,334,2.0,1.0,8000,2329
347,365,32.5173003,34.9924648,654,2.0,1.0,8000,2289
348,249,31.5930005,34.9615292,35,1.8,1.5,11000,2093
349,559,31.4913796,34.5518516,232,4.0,1.0,7000,2015
350,314,31.50809856344461,34.586744396198206,34,4.0,1.5,8500,2015
351,570,31.5049002,34.5642247,232,4.0,1.0,7000,2015
352,248,31.5846626,34.8365962,35,1.8,1.5,11000,2013
353,37,31.559240322914764,34.80244102060744,6,1.5,1.5,48000,2013
354,253,31.5848635,34.8379581,35,1.8,1.5,11000,2013
355,343,31.4771954,34.930641,358,2.0,1.0,8000,1969
356,344,31.5361232,34.9185525,358,2.0,1.0,8000,1969
357,345,31.5383541,34.9057094,358,2.0,1.0,8000,1969
358,346,31.5388594,34.907025,358,2.0,1.0,8000,1969
359,352,31.4791883,34.9530539,354,2.0,1.0,8000,1969
360,534,31.5361029,34.9201667,358,2.0,1.0,8000,1969
361,544,31.4164163,34.9357382,354,2.0,1.0,8000,1969
362,317,32.6610422,35.2596155,73,1.8,1.5,8000,1926
363,44,31.37830599585544,34.821092040794596,6,1.5,1.5,48000,1854
364,33,31.31769096250134,34.891463357154294,6,1.5,1.5,48000,1853
365,197,31.297868813801255,34.88736027254996,60,1.8,2.0,16000,1853
366,404,31.3712951,34.7830747,310,2.0,1.5,8000,1529
367,138,31.338370509352035,34.78876176577608,40,1.8,1.5,22000,1529
368,500,31.3740879,34.8046907,310,2.0,1.5,8000,1529
369,562,31.2005516,34.9164779,25,1.8,1.5,7000,1508
370,193,31.244126770887476,34.80751597426905,60,1.8,2.0,16000,1508
371,141,31.245662790889707,34.82904325742725,40,1.8,1.5,22000,1508
372,145,31.12894904161602,34.80901919771263,40,1.8,1.5,22000,1508
373,238,31.21740737149444,34.80488009217176,406,2.0,2.0,13000,1508
374,568,31.2294326,34.8090153,25,1.8,1.5,7000,1508
375,577,31.2925987,34.9227669,31,1.8,1.5,6500,1508
376,578,31.2916455,34.9239196,31,1.8,1.5,6500,1508
377,244,31.263171775884203,34.79811208658041,406,2.0,2.0,13000,1508
378,155,31.282470598694584,34.82577346382696,40,1.8,1.5,22000,1508
379,574,31.218108867475035,34.865293547754824,25,1.8,1.5,7000,1508
380,247,31.269129879792988,34.798103442591575,406,2.0,2.0,13000,1508
381,199,31.245068672956855,34.8049135713969,60,1.8,2.0,16000,1508
382,107,32.76605660839982,35.40872790510802,65,4.0,1.5,24000,1455
383,28,31.57875482471124,34.80740388919948,6,1.5,1.5,48000,1359
384,8,32.66828897510452,34.93734095205944,2,1.5,2.0,75000,1277
385,361,32.6117197,35.0837375,672,2.0,1.5,8000,1264
386,53,32.54086318464,34.9310768613284,4,1.8,1.5,40000,1206
387,483,31.49690580570475,34.68571696181941,334,2.0,1.0,8000,1199
388,561,31.3182746734047,34.70232857193643,25,1.8,1.5,7000,1184
389,228,31.311015,34.7883396,406,2.0,2.0,13000,1184
390,566,31.276422013935097,34.73490953852222,25,1.8,1.5,7000,1184
391,460,31.33179793170028,34.69960521629294,264,2.0,1.5,8000,1184
392,154,31.31376735313169,34.78783164893118,40,1.8,1.5,22000,1184
393,521,31.342003577691028,34.72371974711232,310,2.0,1.5,8000,1184
394,571,31.25975389213406,34.755658535570724,25,1.8,1.5,7000,1184
395,323,32.8819034,35.6600955,92,2.5,1.0,8000,1182
396,440,32.8831442,35.6607189,92,4.0,1.0,8000,1182
397,555,31.4458355,34.5707134,25,4.0,1.5,7000,1173
398,556,31.4505483,34.559437,25,4.0,1.5,7000,1173
399,315,31.45197816987135,34.59994931416157,34,4.0,1.5,8500,1173
400,153,31.537234500188532,34.76672553033462,40,1.8,1.5,22000,1157
401,470,31.3865175,34.8777943,358,2.0,1.0,8000,999
402,486,31.3832276,34.8778612,358,2.0,1.0,8000,999
403,198,32.663310496017544,35.292608600133015,60,1.8,2.0,16000,974
404,66,32.6406950713602,34.95851936500162,4,1.8,1.5,40000,940
